101.2,67.9
102.1,67.9
103.2,66.9
101.3,66.7
101.4,67.4
101.5,67.3
108.5,67.2
104.2,67.1
101.2,67.0
1002,67.6
102.2,67.1
101.0,67.1
1000.0,1.0
10.2,100.1
101.2,67.9
102.1,67.9
103.2,66.9
101.3,66.7
101.4,67.4
101.5,67.3
108.5,67.2
104.2,67.1
101.2,67.0
1002,67.6
102.2,67.1
101.0,67.1
1000.0,1.0
10.2,100.1
101.2,67.9
102.1,67.9
103.2,66.9
101.3,66.7
101.4,67.4
101.5,67.3
108.5,67.2
104.2,67.1
101.2,67.0
1002,67.6
102.2,67.1
101.0,67.1
1000.0,1.0
10.2,100.1
101.2,67.9
102.1,67.9
103.2,66.9
101.3,66.7
101.4,67.4
101.5,67.3
108.5,67.2
104.2,67.1
101.2,67.0
1002,67.6
102.2,67.1
101.0,67.1
1000.0,1.0
10.2,100.1
101.2,67.9
102.1,67.9
103.2,66.9
101.3,66.7
101.4,67.4
101.5,67.3
108.5,67.2
104.2,67.1
101.2,67.0
1002,67.6
102.2,67.1
101.0,67.1
1000.0,1.0
10.2,100.1
101.2,67.9
102.1,67.9
103.2,66.9
101.3,66.7
101.4,67.4
101.5,67.3
108.5,67.2
104.2,67.1
101.2,67.0
1002,67.6
102.2,67.1
101.0,67.1
1000.0,1.0
10.2,100.1
101.2,67.9
102.1,67.9
103.2,66.9
101.3,66.7
101.4,67.4
101.5,67.3
108.5,67.2
104.2,67.1
101.2,67.0
1002,67.6
102.2,67.1
101.0,67.1
1000.0,1.0
10.2,100.1
101.2,67.9
102.1,67.9
103.2,66.9
101.3,66.7
101.4,67.4
101.5,67.3
108.5,67.2
104.2,67.1
101.2,67.0
1002,67.6
102.2,67.1
101.0,67.1
1000.0,1.0
10.2,100.1
